# Time-averaged data for fix 1
# TimeStep v_sim_time v_T_trans v_T_rot
0 0 298.485 101.015
100 1e-06 298.836 100.878
200 2e-06 298.883 100.814
300 3e-06 294.035 107.825
400 4e-06 293.995 108.099
500 5e-06 291.596 111.848
600 6e-06 289.651 115.186
700 7e-06 288.468 115.559
800 8e-06 284.015 120.958
900 9e-06 284.684 122.02
1000 1e-05 282.544 125.16
1100 1.1e-05 280.857 127.542
1200 1.2e-05 280.08 128.478
1300 1.3e-05 277.531 132.425
1400 1.4e-05 276.891 133.639
1500 1.5e-05 274.934 136.04
1600 1.6e-05 273.887 137.592
1700 1.7e-05 273.09 139.496
1800 1.8e-05 270.678 142.365
1900 1.9e-05 270.314 143.661
2000 2e-05 268.675 146.473
2100 2.1e-05 267.425 148.486
2200 2.2e-05 266.284 149.602
2300 2.3e-05 264.515 152.351
2400 2.4e-05 263.435 153.607
2500 2.5e-05 262.863 155.232
2600 2.6e-05 260.967 156.934
2700 2.7e-05 260.23 158.212
2800 2.8e-05 259.176 159.802
2900 2.9e-05 258.909 161.06
3000 3e-05 256.477 163.122
3100 3.1e-05 256.626 164.118
3200 3.2e-05 255.514 165.634
3300 3.3e-05 254.207 166.774
3400 3.4e-05 253.808 168.233
3500 3.5e-05 252.782 169.482
3600 3.6e-05 251.607 170.64
3700 3.7e-05 250.995 172.058
3800 3.8e-05 250.877 172.668
3900 3.9e-05 250.955 173.771
4000 4e-05 249.74 175.028
4100 4.1e-05 247.769 176.465
4200 4.2e-05 247.112 177.648
4300 4.3e-05 245.718 179.569
4400 4.4e-05 245.149 180.661
4500 4.5e-05 245.243 182.008
4600 4.6e-05 244.601 182.232
4700 4.7e-05 243.595 183.691
4800 4.8e-05 242.815 184.169
4900 4.9e-05 242.309 184.527
5000 5e-05 241.92 185.129
5100 5.1e-05 241.379 186.115
5200 5.2e-05 240.749 186.22
5300 5.3e-05 240.092 188.783
5400 5.4e-05 240.351 188.936
5500 5.5e-05 239.387 189.617
5600 5.6e-05 238.599 190.351
5700 5.7e-05 238.611 190.223
5800 5.8e-05 238.414 191.561
5900 5.9e-05 237.338 191.69
6000 6e-05 237.035 192.583
6100 6.1e-05 237.007 192.282
6200 6.2e-05 237.495 193.604
6300 6.3e-05 236.2 194.18
6400 6.4e-05 235.641 194.873
6500 6.5e-05 235.785 195.82
6600 6.6e-05 234.846 196.824
6700 6.7e-05 234.198 197.648
6800 6.8e-05 234.316 197.38
6900 6.9e-05 233.735 198.387
7000 7e-05 233.402 198.546
7100 7.1e-05 232.566 199.838
7200 7.2e-05 232.465 200.637
7300 7.3e-05 231.694 200.693
7400 7.4e-05 231.949 201.596
7500 7.5e-05 231.403 201.409
7600 7.6e-05 230.46 202.518
7700 7.7e-05 230.127 203.339
7800 7.8e-05 230.106 203.989
7900 7.9e-05 230.452 204.302
8000 8e-05 229.758 204.53
8100 8.1e-05 228.977 205.707
8200 8.2e-05 228.635 205.242
8300 8.3e-05 228.507 205.09
8400 8.4e-05 228.434 206.371
8500 8.5e-05 228.288 205.178
8600 8.6e-05 228.259 205.623
8700 8.7e-05 228.432 207.038
8800 8.8e-05 227.404 206.813
8900 8.9e-05 227.866 208.119
9000 9e-05 228.069 207.737
9100 9.1e-05 227.716 208.201
9200 9.2e-05 226.564 208.149
9300 9.3e-05 226.875 208.393
9400 9.4e-05 226.997 208.62
9500 9.5e-05 227.019 209.182
9600 9.6e-05 225.945 209.066
9700 9.7e-05 225.764 209.981
9800 9.8e-05 225.645 210.623
9900 9.9e-05 225.617 210.634
10000 0.0001 225.727 211.317
10100 0.000101 225.745 211.259
10200 0.000102 225.395 210.304
10300 0.000103 224.669 210.725
10400 0.000104 224.799 210.96
10500 0.000105 225.168 211.459
10600 0.000106 224.727 211.893
10700 0.000107 225.431 211.922
10800 0.000108 224.847 211.391
10900 0.000109 225.384 210.966
11000 0.00011 225.209 212.082
11100 0.000111 224.046 212.414
11200 0.000112 223.638 213.057
