# Time-averaged data for fix 1
# TimeStep v_sim_time v_T_trans v_T_rot
0 0 298.485 101.015
100 1e-05 292.842 110.521
200 2e-05 282.871 123.671
300 3e-05 275.083 136.202
400 4e-05 268.572 145.863
500 5e-05 263.088 154.874
600 6e-05 257.373 162.646
700 7e-05 252.447 170.354
800 8e-05 248.74 175.151
900 9e-05 246.499 179.279
1000 0.0001 242.724 184.498
1100 0.00011 241.087 187.448
1200 0.00012 237.894 191.884
1300 0.00013 236.229 194.652
1400 0.00014 234.723 197.179
1500 0.00015 232.619 199.606
1600 0.00016 230.707 202.637
1700 0.00017 229.563 203.398
1800 0.00018 230.038 205.238
1900 0.00019 228.412 206.767
2000 0.0002 227.47 208.285
2100 0.00021 225.968 209.598
2200 0.00022 226.362 209.128
2300 0.00023 225.898 210.382
2400 0.00024 225.42 211.021
2500 0.00025 224.779 211.881
2600 0.00026 223.766 213.305
2700 0.00027 223.074 214.167
2800 0.00028 222.391 215.298
2900 0.00029 221.81 215.562
3000 0.0003 221.466 217.223
3100 0.00031 221.567 216.216
3200 0.00032 221.295 216.466
3300 0.00033 222.228 215.897
3400 0.00034 221.337 216.889
3500 0.00035 220.941 217.984
3600 0.00036 222.229 216.733
3700 0.00037 221.241 217.236
3800 0.00038 221.173 217.465
3900 0.00039 221.828 215.818
4000 0.0004 222.051 215.047
4100 0.00041 221.801 216.784
4200 0.00042 220.729 217.724
4300 0.00043 220.997 217.638
4400 0.00044 220.702 217.867
4500 0.00045 221.697 217.04
4600 0.00046 221.021 218.078
4700 0.00047 220.506 218.005
4800 0.00048 220.516 217.454
4900 0.00049 221.256 216.684
5000 0.0005 220.422 218.262
5100 0.00051 219.853 218.154
5200 0.00052 220.323 218.223
5300 0.00053 220.576 218.322
5400 0.00054 219.901 218.665
5500 0.00055 220.182 218.565
5600 0.00056 220.564 218.501
5700 0.00057 219.992 218.51
5800 0.00058 220.161 218.187
5900 0.00059 220.672 217.862
6000 0.0006 220.104 218.942
6100 0.00061 219.891 219.331
6200 0.00062 219.416 219.572
6300 0.00063 218.394 220.621
6400 0.00064 218.999 220.001
6500 0.00065 218.467 221.459
6600 0.00066 218.219 221.456
6700 0.00067 218.543 220.812
6800 0.00068 218.199 221.775
6900 0.00069 217.952 221.347
7000 0.0007 217.621 221.933
7100 0.00071 217.98 222.159
7200 0.00072 218.176 221.55
7300 0.00073 218.315 220.486
7400 0.00074 218.41 220.379
7500 0.00075 218.91 220.505
7600 0.00076 218.914 221.546
7700 0.00077 219.063 220.105
7800 0.00078 219.349 220.491
7900 0.00079 219.581 219.486
8000 0.0008 218.879 220.074
8100 0.00081 217.709 221.353
8200 0.00082 218.666 220.637
8300 0.00083 218.548 220.974
8400 0.00084 217.868 221.815
8500 0.00085 219.189 219.531
8600 0.00086 219.027 219.746
8700 0.00087 219.079 221.02
8800 0.00088 219.157 219.934
8900 0.00089 219.417 220.797
9000 0.0009 219.492 219.821
9100 0.00091 219.37 219.619
9200 0.00092 217.967 220.925
9300 0.00093 219.119 219.778
9400 0.00094 219.338 220.058
9500 0.00095 219.36 219.39
9600 0.00096 220.792 218.138
9700 0.00097 221.2 217.49
9800 0.00098 220.542 216.873
9900 0.00099 220.723 217.223
10000 0.001 221.482 217.157
