# Time-averaged data for fix 1
# TimeStep v_sim_time v_T_trans v_T_rot
0 0 298.485 101.015
100 1e-05 298.773 101.098
200 2e-05 296.411 104.472
300 3e-05 293.665 108.186
400 4e-05 291.508 111.41
500 5e-05 288.836 114.297
600 6e-05 285.958 118.372
700 7e-05 284.916 121.298
800 8e-05 282.671 124.213
900 9e-05 280.878 126.603
1000 0.0001 279.163 130.974
1100 0.00011 277.959 132.405
1200 0.00012 275.246 135.754
1300 0.00013 273.974 137.772
1400 0.00014 271.771 141.285
1500 0.00015 269.943 142.932
1600 0.00016 268.757 146.925
1700 0.00017 266.864 148.364
1800 0.00018 265.173 150.857
1900 0.00019 263.182 152.563
2000 0.0002 262.335 154.56
2100 0.00021 262.374 156.497
2200 0.00022 260.004 158.227
2300 0.00023 259.191 160.581
2400 0.00024 257.503 162.216
2500 0.00025 256.971 163.748
2600 0.00026 255.31 165.315
2700 0.00027 253.974 167.916
2800 0.00028 253.393 168.667
2900 0.00029 251.934 171.122
3000 0.0003 251.262 171.864
3100 0.00031 250 173.485
3200 0.00032 249.346 174.868
3300 0.00033 247.753 176.847
3400 0.00034 247.833 177.646
3500 0.00035 245.599 179.005
3600 0.00036 246.239 180.892
3700 0.00037 245.783 180.714
3800 0.00038 244.448 182.459
3900 0.00039 244.104 183.168
4000 0.0004 242.408 184.822
4100 0.00041 242.02 186.079
4200 0.00042 241.36 186.826
4300 0.00043 240.494 187.708
4400 0.00044 240.351 189.035
4500 0.00045 239.79 189.751
4600 0.00046 238.149 190.794
4700 0.00047 238.466 190.813
4800 0.00048 237.67 191.525
4900 0.00049 237.317 192.762
5000 0.0005 235.565 194.391
5100 0.00051 236.549 194.42
5200 0.00052 235.803 194.869
5300 0.00053 234.537 195.862
5400 0.00054 234.586 196.885
5500 0.00055 234.505 197.8
5600 0.00056 233.313 198.085
5700 0.00057 233.333 198.804
5800 0.00058 232.877 199.949
5900 0.00059 231.803 200.6
6000 0.0006 230.942 201.915
6100 0.00061 231.567 201.788
6200 0.00062 230.814 202.986
6300 0.00063 230.361 202.823
6400 0.00064 229.848 204.886
6500 0.00065 229.063 204.756
6600 0.00066 229.517 204.634
6700 0.00067 229.759 204.449
