timestep simtime Ttrans Trot
0 0 3014.8207749532098205 1002.5154494255413056
10 1.0000000000000001566e-14 3014.8207749531698028 1002.5154494255414193
20 2.0000000000000003132e-14 3014.820774953219825 1002.5154494255416466
30 3.0000000000000004698e-14 3014.8207749532398338 1002.5154494255422151
40 4.0000000000000006264e-14 3014.820774953219825 1002.5154494255413056
50 5.0000000000000001519e-14 3014.8207749532398338 1002.5154494255422151
60 6.0000000000000009395e-14 3014.820774953219825 1002.5154494255417603
70 7.0000000000000004651e-14 3014.8207749532498383 1002.5154494255416466
80 8.0000000000000012527e-14 3014.8207749531898116 1002.5154494255419877
90 9.0000000000000007782e-14 3014.8207749531798072 1002.5154494255419877
100 1.0000000000000000304e-13 3014.820774953219825 1002.5154494255413056
110 1.1000000000000001091e-13 3014.820774953219825 1002.5154494255416466
120 1.2000000000000001879e-13 3014.8207749532298294 1002.5154494255416466
130 1.3000000000000000142e-13 3014.8207749532398338 1002.5154494255416466
140 1.400000000000000093e-13 3014.8207770341500691 1002.5154494364347784
150 1.5000000000000001718e-13 3014.8208778958601215 1002.5154485062391814
160 1.6000000000000002505e-13 3014.8211886814301579 1002.5154390340949249
170 1.7000000000000000769e-13 3014.822464058659989 1002.5154520338954853
180 1.8000000000000001556e-13 3014.8264980256899435 1002.515477448849083
190 1.9000000000000002344e-13 3014.8372412699800407 1002.5151149436927653
200 2.0000000000000000607e-13 3014.852914650080038 1002.5157103856199683
210 2.1000000000000001395e-13 3014.7549558955502107 1002.5122824067883585
220 2.2000000000000002183e-13 3014.5892152390501906 1002.896633849711634
230 2.3000000000000002971e-13 3014.200080399809849 1002.8119515042180865
240 2.4000000000000003758e-13 3014.5860475998601942 1002.9089057223853843
250 2.4999999999999999497e-13 3014.3354896906598697 1003.1207262323790701
260 2.6000000000000000285e-13 3014.5998542357801853 1002.9344320561649511
270 2.7000000000000001073e-13 3014.228662168559822 1003.0636568771981274
280 2.800000000000000186e-13 3014.0811401858900354 1003.5183189839063971
290 2.9000000000000002648e-13 3014.2999441022197971 1003.3935086518661137
300 3.0000000000000003436e-13 3013.9456010255398724 1003.7825252312978819
310 3.1000000000000004223e-13 3013.8892445767501158 1004.0192607107018148
320 3.2000000000000005011e-13 3013.9391837266498442 1004.1058264458931717
330 3.300000000000000075e-13 3013.5760170090497923 1004.4670244075492747
340 3.4000000000000001538e-13 3013.5283412857897929 1004.471182075124716
350 3.5000000000000002325e-13 3013.6673181679998379 1004.5103119192366421
360 3.6000000000000003113e-13 3013.110179367929959 1004.6340813558241507
370 3.7000000000000003901e-13 3013.3917297661901102 1004.8574327273560129
380 3.8000000000000004688e-13 3013.3526390790198093 1004.6944197114263488
390 3.9000000000000005476e-13 3013.429936571269991 1004.7702548687432227
400 4.0000000000000001215e-13 3013.327208451669776 1004.7115728064250106
410 4.1000000000000002003e-13 3013.1987732163001965 1005.1445775092632857
420 4.200000000000000279e-13 3013.1776407927900436 1005.2417804105571122
430 4.3000000000000003578e-13 3012.7873724250098348 1005.611534427985589
440 4.4000000000000004366e-13 3012.9824215401799847 1005.4666038511090846
450 4.5000000000000005153e-13 3013.0138432538301458 1005.6264063783565916
460 4.6000000000000005941e-13 3012.8545814941999197 1005.7702866053897424
470 4.700000000000000168e-13 3012.3963588208198416 1005.9659902054143004
480 4.8000000000000007516e-13 3012.5685652705101347 1005.9980822992123421
490 4.9000000000000003255e-13 3012.3106842293000227 1006.4719623552360872
500 4.9999999999999998994e-13 3011.8334405197001615 1006.9635085127199545
510 5.1000000000000004831e-13 3012.1565921117298785 1006.9454492623386841
520 5.200000000000000057e-13 3011.9782368651299294 1006.9555516465677556
530 5.3000000000000006406e-13 3011.7690200225101762 1006.811025955011587
540 5.4000000000000002145e-13 3012.1237152009598503 1007.1098028258260229
550 5.5000000000000007981e-13 3012.0266789815600532 1007.1526577871162544
560 5.600000000000000372e-13 3011.4802471809598501 1007.5345044070176073
570 5.6999999999999999459e-13 3011.2740927779500453 1007.7988067296266763
580 5.8000000000000005296e-13 3011.2597401183202237 1007.904024367947045
590 5.9000000000000001035e-13 3010.7979937060099473 1008.7817870471600372
600 6.0000000000000006871e-13 3010.4749359813799856 1009.0259060123668178
610 6.100000000000000261e-13 3010.2133366385100999 1009.4118455619327506
620 6.2000000000000008446e-13 3009.9510149820798688 1009.6098041819453783
630 6.3000000000000004185e-13 3010.4043822485100463 1009.7996463707972907
640 6.4000000000000010022e-13 3010.1507287171898497 1009.755402098162449
650 6.5000000000000005761e-13 3010.3262423121500433 1009.8094936010854781
660 6.60000000000000015e-13 3010.0955961172098796 1010.0543634222766514
670 6.7000000000000007336e-13 3009.5925970814801076 1010.0778607314935016
680 6.8000000000000003075e-13 3009.7784724735702184 1010.022899104758153
690 6.9000000000000008912e-13 3009.968505581879981 1010.3296297683579041
700 7.0000000000000004651e-13 3009.9747599662000539 1010.1884847403445065
710 7.1000000000000010487e-13 3009.999344008369917 1010.0827032559080862
720 7.2000000000000006226e-13 3010.0264024597099706 1009.9210862937934507
730 7.3000000000000001965e-13 3009.9962263154197899 1010.0882891577080045
740 7.4000000000000007801e-13 3009.389074514209824 1010.2500752954550762
750 7.500000000000000354e-13 3009.7690491956800543 1010.5501091959646374
760 7.6000000000000009377e-13 3009.6463121706501624 1010.6475345519301072
770 7.7000000000000005116e-13 3009.1677150052400975 1011.265133030377001
780 7.8000000000000010952e-13 3008.9646886570899369 1011.4754694840364664
790 7.9000000000000006691e-13 3009.3500001204502041 1011.306636680171664
800 8.000000000000000243e-13 3009.1531490540201048 1011.4825275311827681
810 8.1000000000000008266e-13 3009.2526469134400031 1011.3851675341400096
820 8.2000000000000004005e-13 3008.9766360841999813 1011.2746688213853758
830 8.3000000000000009842e-13 3009.1457171248098348 1011.4787001176304102
840 8.4000000000000005581e-13 3008.9865593073300261 1011.6692888210093315
850 8.5000000000000011417e-13 3009.0478545316100281 1011.7376835137240505
860 8.6000000000000007156e-13 3009.1172962878299586 1011.5575313791418921
870 8.7000000000000002895e-13 3009.037126996439838 1011.6529898309801183
880 8.8000000000000008731e-13 3009.1344827594698472 1011.6165211814837903
890 8.900000000000000447e-13 3008.8743211680798595 1011.5641144527658071
900 9.0000000000000010307e-13 3008.5231969976698565 1011.9291955124386959
910 9.1000000000000016143e-13 3008.8087401267498535 1012.1658734743487003
920 9.2000000000000011882e-13 3008.3650222788601241 1012.0804004287197131
930 9.3000000000000007621e-13 3008.3291519883800902 1012.4522561626918105
940 9.400000000000000336e-13 3008.4043501921401003 1012.5738395198083026
950 9.4999999999999999099e-13 3008.427718145219842 1012.5567528395233694
960 9.6000000000000015033e-13 3007.7941513361902253 1013.2845445401053439
970 9.7000000000000010772e-13 3007.7693341937701916 1013.3195095260837206
980 9.8000000000000006511e-13 3007.6731451051200565 1013.6354587287908089
990 9.900000000000000225e-13 3007.4583985435301656 1013.7642701562459706
1000 9.9999999999999997989e-13 3007.1780772771198826 1014.0387953799443039
1010 1.0100000000000001392e-12 3007.4428176813798927 1014.0478718522300596
1020 1.0200000000000000966e-12 3007.2227021896401311 1014.2421095094830434
1030 1.030000000000000054e-12 3006.9953289707200383 1014.4503051212003584
1040 1.0400000000000000114e-12 3007.1140028039199024 1014.7530361409299076
1050 1.0500000000000001707e-12 3006.9653209255898219 1014.7739545240604002
1060 1.0600000000000001281e-12 3006.74300610777982 1015.0866506477400435
1070 1.0700000000000000855e-12 3006.8888524977201087 1015.113484738693046
1080 1.0800000000000000429e-12 3006.4572493027899327 1015.097984332131773
1090 1.0900000000000000003e-12 3006.3376594242699866 1015.4648149326299063
1100 1.1000000000000001596e-12 3005.68532504427003 1015.8076855440310737
1110 1.110000000000000117e-12 3006.4047332621098576 1015.7701758471147286
1120 1.1200000000000000744e-12 3006.3928010171098322 1015.6802862271252934
1130 1.1300000000000000318e-12 3006.383186168930024 1015.6012857762009389
1140 1.1399999999999999892e-12 3005.6028920774301696 1016.3232414432985706
1150 1.1500000000000001485e-12 3006.0069358566202027 1016.1885017967558724
1160 1.1600000000000001059e-12 3005.8259507515799669 1016.3918454501967972
1170 1.1700000000000000633e-12 3005.4966204204201858 1016.820862804654098
1180 1.1800000000000000207e-12 3005.7725698854701477 1016.4793833894024147
1190 1.19000000000000018e-12 3005.6455292619798456 1016.8573005829921385
1200 1.2000000000000001374e-12 3005.608585704179859 1016.7359266660577077
1210 1.2100000000000000948e-12 3005.1934146089502065 1016.9409099396285683
1220 1.2200000000000000522e-12 3005.671578492449953 1016.4571081046060499
1230 1.2300000000000000096e-12 3005.7340390187400772 1016.5770469169308399
1240 1.2400000000000001689e-12 3005.642806125829793 1016.8127370526715367
1250 1.2500000000000001263e-12 3005.2495305425600236 1016.7292796583212748
1260 1.2600000000000000837e-12 3005.3820866687801754 1017.0086379781198502
1270 1.2700000000000000411e-12 3004.9928765746899444 1017.122878475057064
1280 1.2800000000000002004e-12 3005.3259618719498576 1017.1192240131648532
