# Time-averaged data for fix 1
# TimeStep v_sim_time v_T_trans v_T_rot
0 0 2980.47 984.893
1 1e-12 2975.77 988.252
2 2e-12 2971.99 993.369
3 3e-12 2969.92 999.594
4 4e-12 2964.03 1008.3
5 5e-12 2959.44 1016.03
6 6e-12 2955.1 1021.96
7 7e-12 2953.43 1026.55
8 8e-12 2951.4 1031.1
9 9e-12 2948.16 1035.57
10 1e-11 2944.75 1039.25
11 1.1e-11 2940 1044.53
12 1.2e-11 2937.61 1050
13 1.3e-11 2935.21 1054.59
14 1.4e-11 2932.32 1056.76
15 1.5e-11 2926.73 1060.22
16 1.6e-11 2927.31 1065.98
17 1.7e-11 2922.11 1072.36
18 1.8e-11 2918.32 1077.31
19 1.9e-11 2918.61 1078.97
20 2e-11 2915.38 1087.55
21 2.1e-11 2912.86 1089.34
22 2.2e-11 2909.61 1092.99
23 2.3e-11 2905.23 1101.17
24 2.4e-11 2899.04 1106.5
25 2.5e-11 2894.6 1111.69
26 2.6e-11 2891.95 1114.48
27 2.7e-11 2891.41 1119.44
28 2.8e-11 2887.11 1125.48
29 2.9e-11 2883.89 1132.51
30 3e-11 2878.74 1134.87
31 3.1e-11 2876.45 1139.22
32 3.2e-11 2873.65 1145.78
33 3.3e-11 2870.76 1148.81
34 3.4e-11 2869.45 1152.05
35 3.5e-11 2866.71 1157.33
36 3.6e-11 2862.85 1161.55
37 3.7e-11 2860.6 1164.78
38 3.8e-11 2857.29 1170.3
39 3.9e-11 2854.41 1175.38
40 4e-11 2850.82 1180.36
41 4.1e-11 2849.06 1183.61
42 4.2e-11 2843.54 1190.37
43 4.3e-11 2841.85 1193.98
44 4.4e-11 2836.6 1199
45 4.5e-11 2833.26 1203.57
46 4.6e-11 2832.51 1209.91
47 4.7e-11 2829.68 1214.77
48 4.8e-11 2824.48 1219.24
49 4.9e-11 2820.18 1224.44
50 5e-11 2818.81 1227.46
51 5.1e-11 2815.23 1232.48
52 5.2e-11 2811.44 1239.02
53 5.3e-11 2807.91 1243.98
54 5.4e-11 2805.46 1246.49
55 5.5e-11 2801.61 1253.21
56 5.6e-11 2799.14 1257.41
57 5.7e-11 2795.12 1261.09
58 5.8e-11 2791.17 1264.85
59 5.9e-11 2790.76 1268.89
60 6e-11 2787.79 1272.61
61 6.1e-11 2783.55 1277.71
62 6.2e-11 2784.28 1279.11
63 6.3e-11 2781.48 1281.41
64 6.4e-11 2780.32 1284.47
65 6.5e-11 2776.62 1289.74
66 6.6e-11 2776.72 1292.59
67 6.7e-11 2771.4 1298.91
68 6.8e-11 2769.65 1304.04
69 6.9e-11 2765.57 1306.78
70 7e-11 2763.77 1310.15
71 7.1e-11 2760.52 1315.41
72 7.2e-11 2756.55 1322.21
73 7.3e-11 2752.89 1326.41
74 7.4e-11 2749.13 1330
75 7.5e-11 2749.4 1332.98
76 7.6e-11 2746.7 1337.91
77 7.7e-11 2744.7 1339.28
78 7.8e-11 2739.66 1344.19
79 7.9e-11 2738.68 1347.19
80 8e-11 2734.89 1351.33
81 8.1e-11 2734.74 1351.91
82 8.2e-11 2732.08 1354.52
83 8.3e-11 2731.18 1357.65
84 8.4e-11 2729.17 1362.71
85 8.5e-11 2725.45 1368.18
86 8.6e-11 2721.49 1373.09
87 8.7e-11 2719.22 1376.53
88 8.8e-11 2720.14 1378.59
89 8.9e-11 2718.13 1380.79
90 9e-11 2713.91 1385.52
91 9.1e-11 2712.92 1390.1
92 9.2e-11 2711.35 1393.36
93 9.3e-11 2708.89 1395.39
94 9.4e-11 2705.18 1399.57
95 9.5e-11 2702.79 1401.28
96 9.6e-11 2700.1 1404.33
97 9.7e-11 2694.69 1412.54
98 9.8e-11 2690.79 1414.23
99 9.9e-11 2690.28 1419.11
100 1e-10 2688.48 1422.04
101 1.01e-10 2686.47 1424.95
102 1.02e-10 2686.25 1427.19
103 1.03e-10 2684.37 1428.8
104 1.04e-10 2682.46 1432.07
105 1.05e-10 2679.3 1437.03
106 1.06e-10 2678.2 1439.52
107 1.07e-10 2675.76 1441.39
108 1.08e-10 2672.76 1446.82
109 1.09e-10 2672.26 1447.87
110 1.1e-10 2671.26 1451.46
111 1.11e-10 2669.96 1454.76
112 1.12e-10 2665.99 1456.38
113 1.13e-10 2662.63 1459.32
114 1.14e-10 2664.25 1462.32
115 1.15e-10 2660.78 1464.32
116 1.16e-10 2658.7 1468.68
117 1.17e-10 2653.58 1475.85
118 1.18e-10 2652.68 1478.72
119 1.19e-10 2650.75 1483.44
120 1.2e-10 2646.46 1486.97
121 1.21e-10 2640.64 1494.34
122 1.22e-10 2639.76 1497.25
123 1.23e-10 2638.04 1501.16
124 1.24e-10 2632.18 1505.63
125 1.25e-10 2631.09 1508.68
126 1.26e-10 2631.36 1508.88
127 1.27e-10 2631.77 1512.47
128 1.28e-10 2630.73 1514.51
129 1.29e-10 2626.97 1517.55
130 1.3e-10 2624.74 1520.95
131 1.31e-10 2619.34 1527.72
132 1.32e-10 2617.39 1530.62
133 1.33e-10 2613.95 1534.09
134 1.34e-10 2612.82 1536.53
135 1.35e-10 2610.08 1540.61
136 1.36e-10 2609.28 1542.04
137 1.37e-10 2606.07 1545.44
138 1.38e-10 2604.57 1549.89
139 1.39e-10 2601.92 1553.32
140 1.4e-10 2600.58 1555.62
141 1.41e-10 2598.21 1558.25
142 1.42e-10 2597.82 1559.78
143 1.43e-10 2596.62 1559.69
144 1.44e-10 2592.17 1564.46
145 1.45e-10 2591.73 1567.86
